公告日期西元,報告時間區間,軍機軍艦動態內文,共機數量,共艦數量,公務船數量,氣球數量,逾越中線數量
2025-02-01,2025/01/31(五)06:00 至 02/01(六)06:00,迄0600時止，偵獲共機1架次及共艦6艘，持續在臺海周邊活動。,1,6,0,0,0
2025-02-02,2025/02/01(六)06:00 至 02/02(日)06:00,迄0600時止，偵獲共機8架次(其中逾越海峽中線進入西南空域6架次)及共艦5艘、公務船1艘，持續在臺海周邊活動。,8,5,1,0,6
2025-02-03,2025/02/02(日)06:00 至 02/03(一)06:00,迄0600時止，偵獲共機21架次(其中逾越海峽中線進入北部及西南空域14架次)及共艦7艘，持續在臺海周邊活動。,21,7,0,1,14
2025-02-04,2025/02/03(一)06:00 至 02/04(二)06:00,迄0600時止，偵獲共機11架次(其中逾越海峽中線進入北部及西南空域4架次)及共艦6艘，持續在臺海周邊活動。,11,6,0,0,4
2025-02-05,2025/02/04(二)06:00 至 02/05(三)06:00,迄0600時止，偵獲共機12架次(其中逾越海峽中線進入西南空域8架次)及共艦7艘，持續在臺海周邊活動。,12,7,0,0,8
2025-02-06,2025/02/05(三)06:00 至 02/06(四)06:00,迄0600時止，偵獲共機27架次(其中逾越海峽中線進入北部、西南及東部空域23架次)及共艦6艘、公務船1艘，持續在臺海周邊活動。,27,6,1,0,23
2025-02-07,2025/02/06(四)06:00 至 02/07(五)06:00,迄0600時止，偵獲共機9架次(逾越海峽中線進入西南空域9架次)及共艦6艘、公務船2艘，持續在臺海周邊活動。,9,6,2,6,9
2025-02-08,2025/02/07(五)06:00 至 02/08(六)06:00,迄0600時止，偵獲共機11架次(其中逾越海峽中線進入北部及西南空域9架次)及共艦8艘，持續在臺海周邊活動。,11,8,0,1,9
2025-02-09,2025/02/08(六)06:00 至 02/09(日)06:00,迄0600時止，偵獲共機14架次(其中逾越海峽中線進入北部、西南空域9架次)及共艦6艘，持續在臺海周邊活動。,14,6,0,0,9
2025-02-10,2025/02/09(日)06:00 至 02/10(一)06:00,迄0600時止，偵獲共機5架次(其中逾越海峽中線進入西南空域3架次)及共艦6艘，持續在臺海周邊活動。,5,6,0,0,3
2025-02-11,2025/02/10(一)06:00 至 02/11(二)06:00,迄0600時止，偵獲共機32架次(其中逾越海峽中線進入北部及西南空域22架次)及共艦8艘、公務船1艘，持續在臺海周邊活動。,32,8,1,2,22
2025-02-12,2025/02/11(二)06:00 至 02/12(三)06:00,迄0600時止，偵獲共機30架次(其中逾越海峽中線進入北部、西南及東部空域23架次)及共艦7艘、公務船1艘，持續在臺海周邊活動。,30,7,1,0,23
2025-02-13,2025/02/12(三)06:00 至 02/13(四)06:00,迄0600時止，偵獲共機30架次(其中逾越海峽中線進入北部、西南及東部空域23架次)及共艦7艘、公務船1艘，持續在臺海周邊活動。,30,7,1,0,23
2025-02-14,2025/02/13(四)06:00 至 02/14(五)06:00,迄0600時止，偵獲共機5架次(其中1架進入西南空域)及共艦6艘，持續在臺海周邊活動。,5,6,0,0,0
2025-02-15,2025/02/14(五)06:00 至 02/15(六)06:00,迄0600時止，偵獲共機19架次(其中逾越海峽中線進入北部及西南空域15架次)及共艦8艘、公務船1艘，持續在臺海周邊活動。,19,8,1,1,15
2025-02-16,2025/02/15(六)06:00 至 02/16(日)06:00,迄0600時止，偵獲共機4架次(其中進入北部及西南空域2架次)及共艦8艘、公務船1艘，持續在臺海周邊活動。,4,8,1,1,2
2025-02-17,2025/02/16(日)06:00 至 02/17(一)06:00,迄0600時止，偵獲共機41架次(其中逾越海峽中線進入北部、中部及西南空域28架次)及共艦9艘、公務船1艘，持續在臺海周邊活動。,41,9,1,0,28
2025-02-18,2025/02/17(一)06:00 至 02/18(二)06:00,迄0600時止，偵獲共機8架次(其中逾越海峽中線進入西南空域4架次)及共艦9艘、公務船1艘，持續在臺海周邊活動。,8,9,1,0,4
2025-02-19,2025/02/18(二)06:00 至 02/19(三)06:00,迄0600時止，偵獲共機36架次(其中逾越海峽中線進入北部、東部及西南空域33架次)及共艦7艘，持續在臺海周邊活動。,36,7,0,0,33
2025-02-20,2025/02/19(三)06:00 至 02/20(四)06:00,迄0600時止，偵獲共機36架次(其中逾越海峽中線進入北部、中部、西南及東南空域29架次)及共艦8艘，持續在臺海周邊活動。,36,8,0,1,29
2025-02-21,2025/02/20(四)06:00 至 02/21(五)06:00,迄0600時止，偵獲共機28架次(其中逾越海峽中線進入北部、西南空域25架次)及共艦7艘，持續在臺海周邊活動。,28,7,0,0,25
2025-02-22,2025/02/21(五)06:00 至 02/22(六)06:00,迄0600時止，偵獲共機8架次(其中逾越海峽中線進入北部及西南空域3架次)及共艦7艘、公務船2艘，持續在臺海周邊活動。,8,7,2,3,3
2025-02-23,2025/02/22(六)06:00 至 02/23(日)06:00,迄0600時止，偵獲共機11架次(其中逾越海峽中線進入東部及西南空域11架次)及共艦6艘、公務船2艘，持續在臺海周邊活動。,11,6,2,0,11
2025-02-24,2025/02/23(日)06:00 至 02/24(一)06:00,迄0600時止，偵獲共機5架次(其中逾越海峽中線進入西南及東南空域3架次)及共艦10艘、公務船2艘，持續在臺海周邊活動。,5,10,2,2,3
