報告日期,項次,時間區段,內容
2025-02-02,1,1125-1525,輔戰機計 2 架次
2025-02-02,2,0800-1610,主戰機及無人機計 17 架次，其中 12 架次逾越中線
2025-02-02,3,1125-1450,輔戰機計 2 架次
2025-02-02,4,1130-1210,空飄氣球 1 枚，紅色虛線代表氣球消失
2025-02-03,1,0830-1010,主戰機計 2 架次
2025-02-03,2,0930-1750,主戰機計 8 架次，其中 1 架次逾越中線
2025-02-03,3,1015-1435,輔戰機 1 架次
2025-02-04,1,0820-1310,主戰機計 5 架次，其中 1 架次逾越中線
2025-02-04,2,1030-1615,主、輔戰機計 7 架次
2025-02-04,3,0755-1630,空飄氣球 3 枚，紅色虛線代表氣球消失
2025-02-05,1,1415-1840,輔戰機計 2 架次
2025-02-05,2,0700-2330,主、輔戰機及無人機計 17 架次，其中 15 架次逾越中線
2025-02-05,3,1325-1900,主、輔戰機及無人機計 7 架次
2025-02-05,4,0930-1115,直升機 1 架次
2025-02-06,1,0940-0600,主戰機及無人機計 7 架次，其中 7 架次逾越中線
2025-02-06,2,1000-2010,輔戰機計 2 架次
2025-02-06,3,0835-1900,空飄氣球 6 顆，紅色虛線代表氣球消失
2025-02-07,1,0950-2125,主戰機計 2 架次
2025-02-07,2,0745-1805,主、無人機計 5 架次，其中 3 架次逾越中線
2025-02-07,3,1050-1445,主戰機計 4 架次
2025-02-07,4,0720-0750,空飄氣球 1 枚，紅色虛線代表氣球消失
2025-02-08,1,0800-1450,主、輔戰機計 9 架次，其中 4 架次逾越中線
2025-02-08,2,1445-1905,主戰機及無人機計 5 架次
2025-02-09,1,0800-1235,主戰機計 4 架次，其中 2 架次逾越中線
2025-02-09,2,1100-1130,輔戰機計 1 架次
2025-02-10,1,0440-0540,主、輔戰機及無人機計 19 架次，其中 9 架次逾越中線
2025-02-10,2,1130-1840,主、輔戰機計 13 架次
2025-02-10,3,1755-2305,空飄氣球 2 顆，紅色虛線代表氣球消失
2025-02-11,1,0705-1945,主、輔戰機及無人機計 10 架次，其中 3 架次逾越中線
2025-02-11,2,0905-1815,主、輔戰機及無人機計 16 架次
2025-02-11,3,0825-1710,直升機 2 架次
2025-02-11,4,1035-1540,無人機 1 架次
2025-02-11,5,1505-1620,直升機 1 架次
2025-02-12,1,1000-1510,主戰機計 4 架次
2025-02-12,2,0740-0940,主戰機計 2 架次
2025-02-13,1,0840-1230,主戰機計 5 架次，其中 1 架次逾越中線
2025-02-14,1,0010-0015,主戰機 1 架
2025-02-14,2,0635-1945,主戰機及無人機計 7 架次，其中 3 架次逾越中線
2025-02-14,3,0745-1555,主、輔戰機及無人機計 10 架次
2025-02-14,4,1455-1805,直升機 1 架
2025-02-14,5,1200-1340,空飄氣球 1 顆，紅色虛線代表氣球消失
2025-02-15,1,1015-1215,主戰機計 2 架次
2025-02-15,2,1435-1655,主戰機 1 架次
2025-02-15,3,1400-1710,直升機 1 架次
2025-02-15,4,2055-2200,空飄氣球 1 顆，紅色虛線代表氣球消失
2025-02-16,1,1055-2300,主、輔戰機計 2 架次，其中 1 架次進入北部空域
2025-02-16,2,0705-2255,主戰機及無人機計 22 架次，其中 10 架次逾越中線
2025-02-16,3,1015-2230,主、輔戰機計 17 架次
2025-02-17,1,0810-1335,主戰機計 4 架次
2025-02-17,2,0845-2015,主、輔戰機計 4 架次
2025-02-18,1,0750-2230,主戰機計 4 架次
2025-02-18,2,0815-0600,主戰機計 18 架次，其中 15 架次逾越中線
2025-02-18,3,1030-0415,主戰機計 13 架次
2025-02-18,4,1630-1720,直升機 1 架次
2025-02-19,1,0745-1420,主、輔戰機及無人機計 6 架次，其中 2 架次進入北部空域
2025-02-19,2,0530-1530,主、輔戰機及無人機計 15 架次，其中 12 架次逾越中線
2025-02-19,3,0515-1940,主、輔戰機及無人機計 14 架次
2025-02-19,4,0710-1110,直升機 1 架次
2025-02-19,5,1305-1350,空飄氣球 1 顆，紅色虛線代表氣球消失
2025-02-20,1,0550-0600,主戰機及無人機計 19 架次，其中 16 架次逾越中線
2025-02-20,2,0830-2020,主、輔戰機及無人機計 8 架次
2025-02-20,3,0955-1400,直升機 1 架次
2025-02-21,1,0600-1555,主戰機及無人機計 6 架次，其中 1 架次逾越中線
2025-02-21,2,1050-1415,主戰機計 2 架次
2025-02-21,3,0910-2035,空飄氣球 3 顆，紅圓虛線代表氣球消失
2025-02-22,1,0735-1220,主戰機計 6 架次，其中 6 架次逾越中線
2025-02-22,2,0745-0600,主、輔戰機計 5 架次
2025-02-23,1,0810-1615,主戰機計 4 架次，其中 2 架次逾越中線
2025-02-23,2,0600-1120,輔戰機計 1 架次
2025-02-23,3,2120-0520,空飄氣球 2 顆，紅圓虛線代表氣球消失
2025-02-24,1,1015-1415,主戰機計 2 架次
2025-02-24,2,0630-1400,主戰機計 3 架次，其中 1 架次逾越中線
2025-02-24,3,0710-1930,主戰機及無人機計 7 架次
2025-02-24,4,0610-1215,空飄氣球 2 顆，紅圓虛線代表氣球消失
2025-02-25,1,1425-1435,主戰機 1 架次
2025-02-25,2,0850-1915,主戰機及無人機計 7 架次，其中 5 架次逾越中線
2025-02-25,3,0815-1340,輔戰機 1 架次
2025-02-25,4,1305-1410,直升機 1 架次
2025-02-25,5,1505-1650,直升機 1 架次
2025-02-26,1,0815-1225,主、輔戰機計 4 架次
2025-02-26,2,0740-1930,主、輔戰機及無人機計 21 架次，其中 14 架次逾越中線
2025-02-26,3,0915-1925,主、輔戰機及直升機無人機計 20 架次
2025-02-26,4,0850-1540,中共遠海長航編隊主、輔戰艦計 7 艘
2025-02-27,1,0605-1700,主戰機及無人機計 5 架次，其中 3 架次逾越中線
2025-02-27,2,0910-1940,主、輔戰機計 3 架次
2025-02-28,1,0720-1700,主戰機及無人機計 5 架次，其中 3 架次逾越中線
2025-02-28,2,1030-1925,主戰機計 10 架次
2025-02-28,3,1410-1705,直升機 1 架次
2025-02-28,4,1600-1745,直升機 1 架次
2025-03-01,1,0920-1730,主戰機、無人機及直升機計 10 架次，其中 4 架次逾越中線
2025-03-01,2,1355-1700,直升機 1 架次
2025-03-02,1,0710-1820,主、輔戰機、無人機及直升機計 7 架次，其中 6 架次逾越中線
2025-03-02,2,1530-1700,直升機 1 架次
2025-03-02,3,0955-1635,直升機 2 架次
2025-03-03,1,0800-1720,主、輔戰機、直升機及無人機計 10 架次，其中 2 架次逾越中線
2025-03-03,2,1100-1540,主、輔戰機計 9 架次
2025-03-04,1,0925-1150,主戰機計 3 架次
2025-03-04,2,1325-1440,直升機 1 架次
2025-03-04,3,1540-1630,直升機 1 架次
2025-03-06,1,1445-1700,主戰機計 1 架次
2025-03-06,2,0940-1655,主、輔戰機計 4 架次
2025-03-06,3,1315-1650,空飄氣球 11 顆，紅圓虛線代表氣球消失
2025-03-07,1,0755-1025,主戰機計 2 架次
2025-03-07,2,0915-1740,空飄氣球 8 顆，紅圓虛線代表氣球消失
2025-03-08,1,0755-2310,主戰機計 5 架次，其中 3 架次逾越中線
2025-03-08,2,0845-1310,主、輔戰機及無人機計 4 架次
2025-03-08,3,0840-1440,空飄氣球 2 顆，紅圓虛線代表氣球消失
2025-03-09,1,1000-1200,直升機 1 架次
2025-03-09,2,0735-1730,主戰機計 7 架次，其中 5 架次逾越中線
2025-03-09,3,1415-0600,主戰機計 3 架次
2025-03-10,1,0900-0120,主戰機及直升機計 2 架次，其中 2 架次進入北部空域
2025-03-10,2,0635-1855,主戰機及無人機計 7 架次，其中 2 架次逾越中線
2025-03-10,3,0420-1310,主、輔戰機計 3 架次
2025-03-10,4,1520-1655,直升機 1 架次
2025-03-11,1,1510-1820,直升機 1 架次
2025-03-11,2,0600-2145,主戰機及無人機計 7 架次，其中 1 架次逾越中線
2025-03-11,3,0845-1735,輔戰機 2 架次
2025-03-11,4,1535-1845,直升機 1 架次
2025-03-12,1,1510-1825,直升機 1 架次
2025-03-12,2,0835-1930,主戰機及直升機計 18 架次，其中 9 架次逾越中線
2025-03-12,3,0955-1030,主戰機 1 架次
2025-03-13,1,0900-1645,主戰機計 4 架次，其中 1 架次進入西南空域
2025-03-13,2,1110-1620,主戰機計 8 架次
2025-03-14,1,1230-1500,主戰機計 2 架次，其中 2 架次逾越中線
2025-03-14,2,1315-1430,無人機 1 架次
2025-03-15,1,0825-1140,直升機 1 架次
2025-03-16,1,0635-1615,主、輔戰機及無人機計 13 架次，其中 7 架次逾越中線
2025-03-16,2,0355-1455,空飄氣球 2 顆，紅圓虛線代表氣球消失
2025-03-17,1,0630-1805,主、輔戰機計 7 架次
2025-03-17,2,0605-2055,主戰機及無人機計 34 架次，其中 25 架次逾越中線
2025-03-17,3,0650-2045,主、輔戰機及無人機計 15 架次
2025-03-17,4,0600-2105,無人機 3 架次
2025-03-17,5,1140-1815,空飄氣球 2 顆，紅圓虛線代表氣球消失
2025-03-18,1,1425-1440,主戰機計 2 架次
2025-03-18,2,0800-1740,主戰機及無人機計 8 架次，其中 1 架次逾越中線
2025-03-18,3,1250-2010,主、輔戰機計 3 架次
2025-03-19,1,0805-1845,主、輔戰機及無人機計 8 架次，其中 1 架次逾越中線
2025-03-19,2,0920-1720,主戰機計 19 架次
2025-03-19,3,1755-1940,空飄氣球 1 顆，紅圓虛線代表氣球消失
2025-03-20,1,0850-1620,主、輔戰機及直升機計 9 架次，其中 4 架次逾越中線
2025-03-20,2,0920-1340,主、輔戰機計 9 架次
2025-03-21,1,0900-1215,直升機 1 架次
2025-03-21,2,0705-2140,主、輔戰機、直升機及無人機計 29 架次，其中 23 架次逾越中線
2025-03-21,3,0845-1850,主、輔戰機計 16 架次
2025-03-21,4,1435-1740,直升機 1 架次
2025-03-22,1,0845-1830,主、輔戰機、直升機及無人機計 8 架次，其中 6 架次逾越中線
2025-03-22,2,0845-1030,主戰機計 4 架次
2025-03-22,3,1425-1740,直升機 1 架次
2025-03-23,1,1115-1710,主戰機、直升機計 3 架次，其中 1 架次逾越中線
2025-03-23,2,0915-1045,主戰機計 6 架次
2025-03-24,1,2315-0105,主戰機計 1 架次
2025-03-24,2,0110-2015,主、輔戰機及無人機計 14 架次，其中 13 架次逾越中線
2025-03-24,3,0845-0125,輔戰機及無人機計 5 架次
2025-03-24,4,0955-1220,無人機 1 架次
2025-03-25,1,0610-0040,主戰機、直升機及無人機計 21 架次，其中 19 架次逾越中線
2025-03-25,2,0810-2020,主、輔戰機及無人機計 6 架次
